id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
47,rural,4,0.57,70,daylight,clear,True,True,morning,True,True,0,0.35
48,rural,1,0.54,70,dim,foggy,False,True,afternoon,False,False,1,0.48
49,highway,1,0.57,35,daylight,foggy,False,True,evening,False,False,2,0.34
50,highway,2,0.42,25,dim,clear,False,False,evening,False,False,0,0.12
51,highway,1,0.7,60,night,foggy,False,True,afternoon,False,False,1,0.68
52,highway,1,0.17,25,night,rainy,False,False,morning,True,False,0,0.2
53,rural,1,0.58,45,daylight,foggy,False,True,evening,False,True,0,0.3
54,rural,4,0.26,60,night,clear,True,True,afternoon,False,False,0,0.39
55,rural,3,0.75,60,night,clear,True,True,evening,False,False,1,0.5
56,rural,1,0.61,25,dim,rainy,False,True,evening,False,False,0,0.24
57,urban,3,0.98,60,dim,clear,False,False,afternoon,True,False,2,0.52
58,rural,3,0.05,25,night,rainy,True,False,afternoon,False,False,2,0.25
59,urban,4,0.44,70,daylight,rainy,False,False,afternoon,True,False,2,0.44
60,rural,2,0.3907,70,dim,foggy,True,False,afternoon,False,True,1,0.39
61,rural,2,0.08,60,dim,foggy,True,True,morning,True,False,1,0.37
62,urban,3,0.31,60,daylight,foggy,False,False,evening,False,True,2,0.31
63,highway,3,0.38,70,night,foggy,True,False,evening,False,False,2,0.6
64,highway,1,0.06,35,night,clear,True,False,morning,False,False,2,0.28
65,urban,1,0.83,70,daylight,clear,True,True,evening,False,False,1,0.37
66,highway,2,0.72,60,night,rainy,False,False,afternoon,True,False,0,0.73
67,highway,3,0.46,25,daylight,clear,True,True,morning,False,False,0,0.11
68,urban,4,0.23,25,night,clear,True,False,afternoon,False,True,0,0.25
69,highway,1,0.46,35,daylight,clear,True,True,evening,False,True,1,0.16
70,rural,1,0.87,45,dim,clear,True,True,evening,False,True,1,0.31
71,highway,1,0.1,35,dim,rainy,False,True,morning,True,True,1,0.16
72,highway,2,0.63,35,dim,rainy,False,False,afternoon,False,False,1,0.31
73,highway,1,0.83,45,night,rainy,True,False,morning,True,False,1,0.58
74,urban,1,0.49,45,night,rainy,True,False,afternoon,False,True,0,0.46
75,urban,3,0.29,70,dim,foggy,True,True,afternoon,False,False,0,0.32
76,rural,4,0.16,70,night,foggy,True,False,evening,False,True,1,0.59
77,highway,1,0.32,60,daylight,clear,True,True,afternoon,True,False,0,0.32
78,urban,4,0.1,60,dim,clear,True,True,afternoon,True,False,1,0.22
79,highway,4,0.55,25,daylight,foggy,True,False,evening,False,False,3,0.41
80,highway,2,0.65,45,daylight,foggy,True,True,afternoon,True,False,1,0.3
81,rural,4,0.03,35,dim,rainy,True,False,afternoon,True,True,1,0.16
82,highway,4,0.84,25,dim,rainy,False,True,morning,True,False,1,0.39
83,rural,1,0.66,60,night,clear,True,False,evening,False,True,2,0.6
84,rural,3,0.87,25,dim,clear,True,False,evening,True,True,1,0.36
85,highway,4,0.37,70,night,clear,False,True,afternoon,True,False,1,0.59
86,highway,1,0.29,25,dim,clear,True,False,afternoon,True,False,2,0.12
87,urban,1,0.57,25,night,rainy,True,False,afternoon,True,True,0,0.44
88,rural,2,0.46,45,dim,clear,False,False,afternoon,False,False,2,0.19
89,rural,2,0.09,70,dim,clear,False,False,morning,True,True,2,0.21
90,rural,4,0.13,70,dim,foggy,False,False,morning,True,False,2,0.31
91,highway,2,0.13,70,daylight,rainy,True,False,morning,True,True,2,0.37
92,highway,3,0.05,60,dim,clear,False,False,afternoon,False,True,0,0.25
93,urban,1,0.55,35,daylight,clear,True,False,afternoon,True,False,0,0.16
94,highway,2,0.76,45,dim,foggy,True,True,evening,True,False,1,0.37
95,highway,3,0.09,25,night,foggy,False,True,evening,False,True,0,0.37
96,urban,2,0.53,25,night,rainy,True,False,morning,False,True,2,0.48
97,rural,1,0.28,70,daylight,rainy,False,False,afternoon,True,True,0,0.4
98,rural,1,0.67,60,daylight,clear,False,False,evening,True,True,0,0.42
99,highway,3,1.0,60,daylight,clear,False,True,afternoon,False,False,0,0.51
100,rural,2,0.43,60,daylight,rainy,True,True,afternoon,True,False,0,0.43
101,highway,4,0.9,60,night,rainy,False,False,evening,True,False,4,0.84
102,highway,4,0.41,35,night,foggy,True,True,evening,True,False,0,0.47
103,urban,1,0.34,35,daylight,foggy,False,False,afternoon,False,True,0,0.22
104,rural,2,0.52,70,daylight,rainy,True,True,evening,True,False,3,0.5
105,urban,1,0.02,60,night,clear,False,True,afternoon,True,True,1,0.45
106,rural,3,0.37,45,night,rainy,True,True,morning,True,True,2,0.42
107,highway,2,0.08,35,dim,foggy,False,False,afternoon,True,False,2,0.15
108,highway,3,0.16,25,dim,clear,False,False,afternoon,False,False,1,0.12
109,urban,4,0.03,60,daylight,rainy,False,True,morning,False,True,2,0.28
110,rural,3,0.53,25,daylight,clear,False,True,morning,False,True,2,0.21
111,rural,2,0.75,35,night,rainy,False,True,evening,True,False,1,0.64
112,highway,4,0.34,70,dim,rainy,True,False,afternoon,True,True,1,0.43
113,highway,1,0.75,70,night,foggy,False,True,afternoon,False,False,2,0.84
114,urban,1,0.33,60,dim,rainy,True,False,afternoon,True,True,2,0.32
115,urban,4,0.64,35,daylight,rainy,False,True,afternoon,True,False,0,0.39
116,highway,1,0.14,60,dim,rainy,False,False,afternoon,False,True,2,0.34
117,highway,3,0.75,70,dim,foggy,True,False,evening,False,False,0,0.6
118,rural,3,0.79,35,night,clear,True,True,morning,False,False,1,0.48
119,highway,4,0.63,35,dim,rainy,False,True,evening,False,False,2,0.27
120,highway,1,0.37,25,night,rainy,False,True,morning,False,True,2,0.29
121,urban,2,0.65,60,daylight,rainy,False,True,morning,True,True,1,0.54
122,highway,2,0.63,35,daylight,foggy,True,False,afternoon,False,False,1,0.31
123,urban,2,0.47,35,night,clear,False,False,afternoon,True,False,0,0.25
124,rural,1,0.08,45,daylight,rainy,False,False,morning,True,True,1,0.15
125,highway,2,0.55,25,night,rainy,True,True,afternoon,True,False,0,0.45
126,urban,4,0.05,60,daylight,clear,False,True,afternoon,False,True,0,0.25
127,rural,2,0.7,35,daylight,rainy,False,True,evening,True,False,1,0.39
128,rural,4,0.44,45,dim,rainy,False,True,morning,True,True,0,0.29
129,rural,4,0.04,45,night,clear,False,False,evening,False,True,1,0.26
130,rural,3,0.01,70,daylight,rainy,False,False,evening,True,False,0,0.25
131,highway,3,0.47,45,daylight,clear,False,False,morning,True,True,1,0.14
132,urban,3,0.71,35,night,rainy,False,True,afternoon,True,True,1,0.41
133,rural,2,0.14,60,daylight,clear,True,True,morning,False,True,1,0.19
134,urban,2,0.36,35,night,foggy,False,True,afternoon,False,False,0,0.38
135,rural,3,0.7,45,night,rainy,False,True,morning,False,False,3,0.6
136,highway,4,0.46,60,daylight,clear,True,True,afternoon,False,True,1,0.27
137,urban,1,0.99,25,daylight,rainy,False,True,morning,False,True,1,0.34
138,urban,4,0.01,70,dim,foggy,False,True,morning,False,False,0,0.28
139,rural,1,0.55,60,dim,foggy,False,False,evening,False,False,1,0.53
140,rural,1,0.53,60,night,foggy,False,True,morning,True,True,0,0.63
141,urban,1,0.78,45,dim,rainy,False,True,evening,True,True,2,0.44
142,rural,1,0.1,35,night,rainy,True,True,afternoon,True,False,1,0.25
143,urban,3,0.82,25,daylight,foggy,True,False,morning,True,False,2,0.42
144,urban,4,0.16,45,night,clear,True,True,morning,True,True,2,0.27
145,rural,4,0.7,45,dim,foggy,False,False,evening,True,True,0,0.38
146,highway,4,0.66,70,night,foggy,False,False,evening,True,True,2,0.77
147,urban,4,0.7,60,daylight,rainy,True,False,evening,False,True,3,0.56
148,highway,1,0.18,25,night,clear,False,False,morning,False,True,2,0.36
149,highway,2,0.14,60,dim,clear,True,True,morning,True,False,2,0.24
150,urban,3,0.38,25,dim,foggy,True,True,morning,True,False,1,0.27
151,highway,1,0.43,25,dim,rainy,True,True,evening,False,True,1,0.22
152,highway,4,0.83,60,night,foggy,False,False,evening,False,False,1,0.68
153,rural,2,0.61,35,dim,clear,True,False,afternoon,True,False,2,0.13
154,rural,2,0.57,45,dim,clear,False,True,morning,True,True,1,0.12
155,rural,1,0.29,35,dim,clear,True,False,evening,True,False,1,0.05
156,rural,1,0.81,70,dim,foggy,True,False,afternoon,False,False,2,0.53
157,rural,4,0.25,35,night,rainy,False,False,morning,False,False,0,0.34
158,highway,3,0.53,70,night,foggy,False,True,afternoon,True,False,0,0.69
159,urban,2,0.65,45,dim,rainy,True,False,afternoon,False,False,2,0.31
160,urban,3,0.45,60,daylight,clear,True,True,evening,False,False,1,0.29
161,rural,4,0.57,25,night,rainy,True,True,evening,False,True,3,0.59
162,urban,2,0.66,70,night,clear,True,True,morning,False,True,0,0.64
163,highway,2,0.79,70,daylight,clear,True,False,evening,True,True,3,0.54
164,rural,4,0.17,70,night,foggy,False,True,morning,False,False,1,0.64
165,highway,3,0.55,45,dim,foggy,False,True,evening,True,False,1,0.26
166,urban,2,0.71,45,night,clear,False,True,evening,True,True,3,0.49
167,highway,2,0.38,35,daylight,rainy,True,False,evening,False,True,1,0.16
168,urban,2,0.02,45,night,clear,False,True,morning,False,False,2,0.23
169,urban,1,0.72,70,dim,clear,True,False,morning,True,False,2,0.46
170,rural,2,0.39,25,night,rainy,True,True,evening,True,True,1,0.34
171,urban,4,0.57,35,daylight,foggy,False,False,evening,True,False,1,0.3
172,urban,2,0.15,45,daylight,foggy,True,True,evening,False,False,2,0.21
173,urban,2,0.12,70,dim,rainy,True,True,evening,False,False,1,0.38
174,urban,4,0.43,60,dim,clear,True,False,morning,False,False,0,0.33
175,urban,2,0.15,35,night,clear,True,False,evening,True,False,3,0.1
176,rural,3,0.53,70,dim,foggy,True,False,morning,False,True,1,0.49
177,rural,4,0.75,70,daylight,clear,True,True,evening,True,False,0,0.44
178,highway,2,0.83,70,night,foggy,False,True,evening,False,True,4,0.8
179,rural,3,0.61,70,dim,foggy,False,True,morning,True,True,1,0.51
180,urban,4,0.9,60,night,foggy,True,True,morning,True,False,0,0.73
181,highway,2,0.34,45,daylight,clear,False,False,morning,True,False,1,0.17
182,urban,4,0.39,70,dim,foggy,True,False,evening,False,True,1,0.47
183,urban,4,0.07,45,night,rainy,False,True,morning,False,False,1,0.39
184,urban,1,0.39,45,night,rainy,True,False,afternoon,False,False,2,0.43
185,highway,2,0.07,25,dim,foggy,True,False,morning,False,True,0,0.13
186,highway,1,0.75,45,daylight,foggy,False,True,afternoon,True,False,2,0.4
187,rural,1,0.79,60,dim,foggy,False,False,evening,False,False,0,0.56
188,urban,2,0.1,45,daylight,foggy,True,True,afternoon,False,False,1,0.16
189,urban,1,0.58,45,night,clear,False,True,morning,True,True,1,0.4
190,urban,3,0.1,60,dim,rainy,True,True,afternoon,True,False,1,0.39
191,urban,1,0.44,45,daylight,rainy,True,True,evening,True,True,2,0.21
192,highway,4,0.53,60,dim,foggy,True,False,afternoon,True,True,2,0.55
193,rural,3,0.79,45,night,clear,False,False,morning,False,True,1,0.48
194,urban,3,0.49,70,daylight,rainy,True,True,afternoon,True,False,1,0.45
195,rural,2,0.22,45,night,clear,True,False,evening,False,True,2,0.3
196,urban,1,0.65,70,daylight,foggy,True,False,morning,False,False,1,0.5
197,urban,2,0.85,35,daylight,rainy,True,False,afternoon,True,False,1,0.3
198,highway,1,0.44,70,dim,rainy,True,False,evening,False,True,1,0.45
199,urban,4,0.81,70,dim,foggy,False,True,evening,True,False,1,0.48
200,urban,1,0.39,45,night,clear,True,False,afternoon,False,True,0,0.2
201,highway,2,0.08,45,night,foggy,False,True,afternoon,False,False,2,0.37
202,highway,4,0.59,60,night,foggy,True,False,evening,False,True,2,0.64
203,rural,3,0.53,60,night,rainy,True,True,afternoon,True,False,1,0.63
204,highway,3,0.71,35,daylight,clear,False,False,morning,True,False,0,0.17
205,highway,2,0.21,35,night,foggy,True,True,evening,True,False,1,0.32
206,rural,2,0.41,35,night,foggy,True,True,morning,False,False,2,0.41
207,urban,2,0.52,25,dim,clear,False,False,afternoon,False,False,2,0.23
208,urban,1,0.02,60,dim,rainy,False,True,morning,False,False,1,0.28
209,urban,2,0.5,35,dim,foggy,False,True,morning,True,False,1,0.27
210,highway,2,0.26,45,night,rainy,False,False,afternoon,False,True,1,0.29
211,rural,1,0.81,60,dim,foggy,False,False,evening,True,True,0,0.5
212,highway,1,0.45,60,daylight,clear,False,True,afternoon,True,False,1,0.45
213,urban,1,0.63,45,daylight,foggy,False,False,morning,False,False,2,0.25
214,rural,2,0.03,45,night,rainy,True,True,afternoon,True,True,2,0.19
215,rural,4,0.31,25,daylight,clear,False,False,morning,True,False,2,0.08
216,highway,4,0.16,25,dim,foggy,False,False,morning,True,True,0,0.16
217,highway,2,0.51,25,daylight,rainy,False,False,morning,False,True,2,0.22
218,rural,2,0.73,45,dim,rainy,False,True,morning,True,False,1,0.4
219,urban,4,0.12,35,night,foggy,False,False,evening,True,False,1,0.33
220,rural,2,0.35,70,daylight,clear,False,True,morning,True,True,1,0.39
221,highway,4,0.1,25,dim,foggy,True,True,evening,True,False,0,0.04
222,rural,3,0.92,25,daylight,clear,False,False,afternoon,False,False,1,0.31
223,urban,1,0.02,70,dim,foggy,False,True,afternoon,False,True,1,0.35
224,rural,4,0.18,70,dim,clear,False,True,afternoon,True,True,1,0.24
225,highway,1,0.47,45,night,foggy,False,False,afternoon,False,True,2,0.45
226,rural,1,0.36,25,daylight,rainy,True,False,afternoon,False,True,0,0.29
227,rural,4,0.06,35,dim,foggy,True,False,afternoon,False,True,2,0.13
228,highway,4,0.56,60,daylight,clear,False,True,afternoon,False,False,1,0.41
229,rural,4,0.28,25,dim,clear,True,True,evening,False,False,2,0.09
230,urban,3,0.68,60,night,clear,False,False,evening,False,False,1,0.55
231,urban,4,0.49,45,night,clear,True,False,evening,False,False,1,0.41
232,highway,2,0.52,25,dim,clear,True,True,morning,False,True,0,0.17
233,rural,3,0.37,60,dim,clear,False,False,evening,False,False,1,0.41
234,highway,1,0.02,45,night,rainy,False,False,morning,True,True,2,0.35
235,rural,2,0.25,60,dim,rainy,False,False,afternoon,False,True,2,0.39
236,urban,3,0.77,35,daylight,foggy,True,True,evening,False,False,2,0.42
237,highway,1,0.95,45,daylight,foggy,True,True,evening,True,False,0,0.52
238,urban,2,0.74,25,night,foggy,False,True,evening,True,True,1,0.5
239,rural,3,0.29,60,dim,rainy,True,True,afternoon,False,False,0,0.38
240,highway,1,0.55,60,night,clear,True,True,evening,True,True,1,0.52
241,highway,4,0.27,45,night,rainy,False,True,afternoon,False,False,0,0.39
242,rural,2,0.2,45,dim,rainy,False,True,morning,True,False,0,0.02
243,urban,4,0.62,25,dim,rainy,False,False,evening,True,True,3,0.38
244,rural,4,0.98,45,dim,rainy,True,False,afternoon,True,False,3,0.49
245,highway,4,0.19,60,daylight,clear,True,True,morning,False,True,0,0.28
246,highway,2,0.56,35,night,foggy,True,True,morning,True,False,1,0.45
247,rural,2,0.04,45,night,clear,True,False,morning,True,False,1,0.27
248,rural,3,0.75,70,daylight,foggy,True,False,afternoon,True,True,3,0.56
249,urban,1,0.95,25,daylight,foggy,True,True,evening,True,False,1,0.34
250,urban,3,0.92,35,night,clear,False,True,evening,True,True,0,0.52
251,rural,3,0.31,35,night,clear,False,False,afternoon,False,False,1,0.29
252,highway,2,0.56,45,dim,foggy,False,False,evening,True,False,2,0.27
253,rural,1,0.36,35,daylight,clear,False,False,morning,True,False,1,0.09
254,urban,4,0.59,60,night,rainy,False,False,afternoon,False,True,3,0.78
255,rural,4,0.21,60,dim,foggy,True,True,morning,True,False,2,0.31
256,highway,3,0.52,25,daylight,foggy,True,False,evening,True,True,1,0.37
257,urban,1,0.71,35,night,rainy,False,True,morning,True,True,1,0.5
258,rural,1,0.41,25,daylight,clear,True,True,morning,True,True,1,0.22
259,highway,2,0.99,35,dim,clear,True,False,morning,False,False,0,0.34
260,rural,3,0.9,70,daylight,foggy,False,True,morning,True,True,1,0.61
261,urban,2,0.17,35,daylight,rainy,True,False,evening,False,False,2,0.16
262,highway,3,0.58,70,dim,clear,False,True,evening,False,False,1,0.39
263,rural,1,0.66,60,night,rainy,True,True,afternoon,True,False,1,0.81
264,urban,3,0.58,70,daylight,clear,False,True,afternoon,False,False,0,0.44
265,highway,2,0.27,25,night,clear,False,True,afternoon,False,True,0,0.22
266,rural,2,0.51,70,dim,clear,False,False,evening,True,True,1,0.43
267,rural,2,0.25,45,night,rainy,True,False,afternoon,True,True,0,0.42
268,urban,3,0.25,25,dim,foggy,False,False,evening,True,True,1,0.13
269,highway,2,0.78,35,daylight,rainy,False,True,morning,False,False,2,0.38
270,highway,2,0.25,25,night,clear,False,True,afternoon,False,False,0,0.2
271,urban,2,0.77,35,night,clear,True,False,afternoon,True,False,1,0.45
272,rural,4,0.52,45,daylight,rainy,False,False,morning,False,True,2,0.33
273,urban,4,0.08,45,night,foggy,False,True,morning,False,False,2,0.32
274,urban,1,0.47,25,dim,rainy,True,True,morning,True,True,1,0.28
275,urban,1,0.33,25,night,foggy,False,True,morning,False,True,1,0.47
276,urban,3,0.8,45,dim,foggy,True,True,afternoon,False,False,0,0.39
277,urban,3,0.59,45,dim,clear,True,True,evening,True,False,1,0.19
278,highway,2,0.57,70,daylight,foggy,True,False,afternoon,True,True,1,0.47
279,urban,3,0.49,35,dim,clear,False,False,afternoon,False,False,0,0.09
280,highway,2,0.49,45,daylight,clear,True,True,afternoon,False,False,0,0.13
281,highway,1,0.21,70,daylight,clear,False,True,morning,False,False,2,0.26
282,urban,2,0.66,45,daylight,rainy,True,False,evening,True,True,2,0.38
283,urban,2,0.09,45,dim,clear,True,True,afternoon,False,True,2,0.18
284,urban,4,0.2,45,night,clear,False,False,afternoon,True,True,0,0.22
285,urban,2,0.57,35,daylight,rainy,True,True,evening,False,False,3,0.47
286,rural,3,0.66,25,dim,clear,False,True,evening,True,False,2,0.16
287,rural,4,0.41,35,daylight,rainy,True,True,afternoon,True,True,1,0.23
288,rural,4,0.77,45,night,clear,True,True,evening,True,True,2,0.45
289,rural,4,0.85,45,dim,clear,True,True,morning,False,True,1,0.33
290,highway,1,0.88,60,dim,rainy,False,False,evening,False,True,3,0.69
291,highway,4,0.86,35,daylight,foggy,True,True,morning,True,False,1,0.35
292,urban,1,0.82,45,dim,clear,False,True,morning,False,False,2,0.21
293,highway,1,0.33,70,dim,clear,False,False,morning,True,True,0,0.34
294,rural,1,0.87,60,dim,rainy,False,True,evening,True,True,2,0.58
295,rural,3,0.86,60,daylight,foggy,True,False,evening,True,False,3,0.55
296,rural,2,0.81,70,night,clear,False,False,afternoon,True,True,3,0.71
297,highway,1,0.32,45,dim,rainy,False,True,morning,False,True,1,0.18
298,highway,2,0.73,25,night,foggy,True,False,morning,False,True,1,0.42
299,highway,2,0.79,60,night,rainy,True,True,morning,False,True,1,0.69
300,rural,4,0.83,60,dim,clear,True,True,evening,True,True,2,0.47
301,highway,1,0.05,25,daylight,foggy,True,False,morning,False,True,0,0.13
302,highway,2,0.61,60,daylight,clear,True,False,morning,True,True,1,0.39
303,highway,3,0.59,60,dim,clear,True,False,morning,True,False,0,0.48
304,rural,1,0.43,45,dim,clear,True,True,evening,False,False,0,0.21
305,urban,2,0.52,35,daylight,foggy,True,True,afternoon,True,False,0,0.22
306,rural,1,0.52,70,daylight,foggy,False,True,evening,False,False,1,0.49
307,highway,1,0.1,45,daylight,clear,False,True,morning,True,False,1,0.06
308,rural,3,0.54,45,dim,clear,False,True,evening,False,False,0,0.16
309,rural,1,0.86,45,daylight,clear,False,False,afternoon,False,False,1,0.32
310,highway,3,0.26,60,daylight,rainy,True,True,morning,False,True,0,0.39
311,rural,3,0.66,35,dim,foggy,True,False,afternoon,True,True,1,0.29
312,urban,3,0.66,45,night,clear,True,False,afternoon,False,False,1,0.42
313,urban,2,0.1,70,night,clear,False,True,evening,False,True,2,0.47
314,rural,1,0.03,25,dim,rainy,False,False,evening,False,False,1,0.13
315,highway,4,0.73,60,night,rainy,False,True,evening,True,False,3,0.92
316,urban,3,0.57,70,night,clear,True,True,afternoon,False,True,0,0.45
317,urban,2,0.96,35,dim,foggy,True,False,morning,True,True,1,0.47
318,urban,4,0.21,70,night,rainy,False,False,afternoon,False,True,0,0.47
319,urban,1,0.41,60,night,clear,False,False,afternoon,True,False,2,0.36
320,rural,1,0.43,25,night,rainy,False,True,evening,False,False,0,0.42
321,rural,3,0.13,45,dim,rainy,False,True,morning,False,True,2,0.09
322,rural,3,0.37,70,dim,foggy,True,True,morning,False,False,1,0.34
323,rural,1,0.45,45,dim,clear,True,False,morning,True,False,2,0.17
324,urban,4,0.11,35,night,foggy,False,False,morning,False,True,0,0.37
325,highway,3,0.78,70,daylight,clear,True,True,morning,True,True,1,0.44
326,highway,3,0.24,45,daylight,clear,False,False,morning,True,False,2,0.04
327,urban,2,0.73,60,daylight,foggy,True,False,evening,True,False,1,0.6
328,rural,3,0.69,25,night,rainy,True,False,morning,True,False,0,0.49
329,highway,4,0.92,60,daylight,foggy,True,False,evening,True,False,1,0.62
330,rural,2,0.45,70,daylight,foggy,False,False,afternoon,True,False,1,0.39
331,rural,2,0.67,60,daylight,clear,True,True,morning,True,False,1,0.3
332,urban,1,0.66,60,dim,rainy,False,True,afternoon,True,False,1,0.47
333,rural,4,0.27,70,dim,foggy,True,False,afternoon,True,True,2,0.34
334,urban,4,0.98,25,daylight,foggy,True,True,evening,False,True,3,0.51
335,rural,1,0.83,35,night,clear,True,False,evening,False,False,0,0.63
336,urban,2,0.49,45,night,rainy,False,True,evening,False,False,2,0.39
337,rural,4,0.08,35,night,rainy,False,True,afternoon,False,True,2,0.41
338,highway,4,0.59,35,night,clear,True,False,afternoon,True,False,3,0.48
339,highway,1,0.7,45,night,clear,False,False,morning,False,True,1,0.43
340,rural,3,0.65,45,night,clear,False,True,morning,True,True,3,0.51
341,highway,3,0.47,70,dim,rainy,False,True,morning,True,True,1,0.47
342,urban,4,0.8,25,daylight,foggy,False,True,afternoon,False,False,0,0.41
343,highway,1,0.44,60,daylight,rainy,True,False,afternoon,False,True,2,0.43
344,rural,1,0.34,70,dim,foggy,True,False,evening,False,False,1,0.3
345,highway,1,0.18,35,dim,clear,False,False,morning,False,True,2,0.07
346,highway,1,0.52,35,dim,foggy,True,True,morning,False,True,2,0.34
347,highway,3,0.23,60,dim,rainy,False,True,morning,False,False,1,0.34
348,urban,2,0.38,35,dim,foggy,True,False,morning,True,True,2,0.19
349,highway,2,0.52,35,night,foggy,True,True,afternoon,True,False,3,0.49
350,urban,1,0.25,35,night,foggy,True,True,evening,False,False,1,0.2
351,rural,3,0.77,60,daylight,foggy,False,True,afternoon,True,True,2,0.58
352,rural,2,0.22,45,night,rainy,True,True,morning,False,False,0,0.33
353,rural,1,0.56,60,daylight,rainy,False,True,evening,False,False,1,0.48
354,rural,3,0.65,35,night,rainy,True,False,afternoon,True,False,1,0.43
355,rural,4,0.74,70,daylight,clear,False,False,morning,False,False,1,0.62
356,highway,4,0.96,25,night,rainy,False,True,evening,True,False,4,0.73
357,rural,4,0.45,70,daylight,clear,True,False,morning,False,False,0,0.37
358,highway,2,0.52,70,night,foggy,False,False,afternoon,True,True,2,0.82
359,urban,1,0.0,25,dim,clear,False,False,evening,False,False,1,0.06
360,urban,2,0.82,35,daylight,rainy,False,True,evening,False,False,2,0.39
361,urban,4,0.37,60,dim,clear,False,True,evening,True,False,1,0.38
362,urban,1,0.1,60,daylight,foggy,False,False,morning,True,False,0,0.37
363,highway,2,0.6,35,dim,clear,False,False,evening,False,True,0,0.31
364,urban,2,0.58,70,night,clear,False,True,afternoon,True,False,2,0.58
365,highway,1,0.79,60,night,rainy,True,False,morning,True,True,4,0.79
366,highway,2,0.28,35,night,foggy,True,True,evening,False,False,0,0.41
367,rural,1,0.85,25,daylight,rainy,True,False,evening,False,False,2,0.3
368,highway,4,0.31,60,daylight,clear,True,True,morning,True,False,1,0.35
369,urban,3,0.41,60,night,foggy,False,False,afternoon,True,False,1,0.65
370,rural,1,0.0,25,night,rainy,True,False,evening,True,True,4,0.2
371,rural,3,0.35,60,daylight,rainy,True,False,evening,False,False,1,0.34
