id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
10079,highway,3,0.49,35,night,foggy,False,True,morning,False,False,1,0.48
10080,urban,3,0.91,25,dim,foggy,False,True,evening,False,True,0,0.2
10081,urban,1,0.07,60,dim,foggy,False,False,afternoon,True,True,2,0.21
10082,urban,2,0.32,25,night,clear,True,False,morning,True,False,0,0.32
10083,highway,1,0.09,35,daylight,clear,True,True,evening,False,True,2,0.06
10084,highway,1,0.43,70,night,clear,False,True,evening,False,False,1,0.54
10085,highway,2,0.54,60,dim,foggy,False,False,afternoon,True,False,2,0.53
10086,rural,4,0.31,35,daylight,rainy,False,True,evening,False,False,2,0.22
10087,urban,1,0.36,25,daylight,clear,True,False,morning,False,False,1,0.11
10088,urban,4,0.55,45,night,foggy,True,True,afternoon,False,True,1,0.42
10089,highway,3,0.56,45,dim,clear,True,True,morning,True,True,0,0.13
10090,highway,2,0.76,45,daylight,foggy,False,False,evening,False,True,2,0.3
10091,urban,1,0.18,60,dim,foggy,True,True,morning,False,True,0,0.4
10092,highway,3,0.99,25,daylight,foggy,True,True,afternoon,False,True,1,0.32
10093,highway,1,0.69,70,night,clear,False,True,evening,True,False,1,0.65
10094,urban,2,0.51,25,dim,rainy,False,False,evening,False,True,2,0.25
10095,rural,1,0.35,25,dim,rainy,False,False,evening,False,False,2,0.15
10096,rural,1,0.73,25,night,foggy,True,True,afternoon,False,True,1,0.59
10097,rural,4,0.69,25,dim,rainy,False,False,evening,True,True,1,0.32
10098,urban,4,0.04,45,dim,foggy,False,True,morning,True,True,0,0.04
10099,rural,2,0.98,25,dim,rainy,True,True,evening,True,True,3,0.43
10100,highway,1,0.22,25,night,foggy,False,False,evening,False,False,2,0.41
10101,urban,1,0.65,45,daylight,clear,False,True,afternoon,False,True,0,0.3
10102,urban,3,0.4,45,daylight,foggy,True,False,evening,True,True,1,0.28
10103,highway,2,0.88,35,daylight,rainy,False,True,afternoon,True,False,1,0.32
10104,urban,3,0.29,70,night,clear,False,False,evening,True,True,2,0.4
10105,urban,1,0.34,45,dim,clear,False,False,evening,False,True,0,0.13
10106,urban,1,0.29,70,daylight,rainy,False,False,morning,False,True,0,0.46
10107,urban,4,0.59,60,dim,clear,True,True,evening,False,True,1,0.42
10108,rural,3,0.47,60,dim,foggy,True,False,evening,True,True,1,0.45
10109,urban,3,0.56,70,night,clear,False,False,morning,True,False,1,0.57
10110,highway,4,0.13,45,daylight,foggy,False,True,evening,False,False,1,0.13
10111,rural,1,0.55,35,daylight,rainy,True,False,evening,False,True,3,0.34
10112,highway,2,0.49,35,night,foggy,True,True,morning,False,False,1,0.42
10113,highway,3,0.63,70,night,clear,False,True,evening,True,False,0,0.54
10114,urban,2,0.41,35,night,rainy,True,False,evening,False,False,0,0.49
10115,highway,4,0.27,45,dim,foggy,False,False,morning,True,False,2,0.19
10116,urban,2,0.34,25,dim,rainy,False,True,morning,True,True,1,0.18
10117,urban,3,0.57,60,daylight,rainy,False,False,morning,False,True,2,0.44
10118,highway,1,0.36,70,dim,clear,False,False,evening,True,True,1,0.27
10119,highway,3,0.36,25,daylight,foggy,False,True,afternoon,True,True,2,0.17
10120,highway,2,0.36,45,night,clear,True,False,evening,False,True,1,0.27
10121,urban,1,0.18,70,dim,rainy,False,False,afternoon,True,False,1,0.37
10122,rural,2,0.46,45,dim,clear,False,True,evening,True,True,1,0.15
10123,rural,1,0.29,35,dim,clear,False,False,afternoon,True,False,1,0.12
10124,highway,2,0.48,45,daylight,clear,False,True,morning,True,True,2,0.13
10125,urban,4,0.68,60,dim,rainy,False,True,morning,False,True,1,0.47
10126,rural,4,0.32,45,dim,foggy,True,False,morning,True,False,1,0.15
10127,highway,1,0.23,35,dim,foggy,False,False,afternoon,False,False,1,0.11
10128,urban,4,0.43,70,dim,clear,True,True,evening,False,False,2,0.51
10129,rural,4,0.42,45,night,foggy,True,True,afternoon,True,False,0,0.2
10130,highway,3,0.87,60,dim,clear,False,True,evening,True,True,3,0.52
10131,rural,2,0.07,45,daylight,clear,True,False,evening,False,True,2,0.03
10132,highway,4,0.03,35,night,foggy,False,False,evening,False,False,1,0.38
10133,highway,1,0.48,70,dim,rainy,True,False,afternoon,True,False,1,0.49
10134,highway,3,0.39,25,daylight,clear,False,True,evening,False,False,2,0.16
10135,rural,2,0.22,25,daylight,rainy,False,False,morning,False,False,0,0.18
10136,urban,1,0.68,45,daylight,foggy,True,True,evening,False,False,2,0.37
10137,highway,1,0.1,45,daylight,clear,False,False,evening,False,False,0,0.06
10138,highway,4,0.84,25,daylight,rainy,False,False,evening,True,False,0,0.41
10139,rural,3,0.22,35,night,clear,True,False,morning,False,True,1,0.37
10140,urban,1,0.95,45,night,foggy,False,True,morning,True,True,1,0.65
10141,highway,2,0.09,25,daylight,clear,True,False,morning,False,True,2,0.02
10142,urban,3,0.78,70,daylight,foggy,False,True,afternoon,True,False,1,0.57
10143,rural,3,0.05,45,dim,clear,False,False,evening,True,True,1,0.09
10144,highway,2,0.53,25,dim,foggy,True,True,evening,False,False,2,0.22
10145,highway,4,0.95,45,dim,foggy,False,True,afternoon,True,True,0,0.3
10146,rural,3,0.67,70,dim,clear,False,True,afternoon,True,False,0,0.45
10147,highway,4,0.84,60,daylight,rainy,False,False,evening,True,False,0,0.55
10148,urban,3,0.04,45,night,foggy,False,False,morning,True,False,1,0.33
10149,highway,1,0.61,60,night,rainy,False,True,morning,False,False,0,0.69
10150,highway,3,0.71,70,night,clear,False,False,afternoon,True,True,3,0.72
10151,urban,4,0.61,45,dim,rainy,True,False,afternoon,False,True,1,0.28
10152,highway,3,0.82,45,daylight,rainy,True,False,morning,True,False,0,0.39
10153,rural,1,0.74,60,night,clear,False,False,morning,False,True,2,0.65
10154,highway,3,0.88,60,dim,clear,False,True,morning,True,True,1,0.44
10155,urban,3,0.8,60,night,foggy,False,True,morning,False,False,2,0.74
10156,urban,3,0.34,45,dim,rainy,False,False,morning,False,True,2,0.16
10157,rural,2,0.99,35,night,clear,True,True,evening,False,False,2,0.37
10158,highway,3,0.7,70,daylight,foggy,True,False,morning,False,True,1,0.5
10159,rural,4,0.37,60,night,clear,True,True,afternoon,False,False,2,0.6
10160,rural,4,0.79,45,daylight,rainy,False,True,afternoon,True,False,1,0.4
10161,urban,1,0.86,45,dim,foggy,True,True,evening,False,False,2,0.35
10162,rural,4,0.34,25,dim,foggy,False,True,morning,True,True,2,0.21
10163,highway,3,0.87,45,dim,foggy,True,True,evening,True,True,2,0.47
10164,highway,3,0.66,35,night,rainy,True,False,morning,True,False,2,0.57
10165,rural,4,0.4,25,daylight,rainy,False,False,evening,False,False,2,0.21
10166,urban,1,0.02,60,daylight,rainy,False,True,morning,False,False,2,0.36
10167,urban,2,0.62,35,dim,foggy,False,False,morning,True,True,2,0.23
10168,urban,4,0.49,45,night,foggy,True,False,evening,False,True,1,0.37
10169,urban,3,0.86,45,night,rainy,True,True,morning,True,True,1,0.54
10170,rural,3,0.58,45,dim,rainy,True,True,afternoon,True,False,0,0.26
10171,urban,2,0.03,70,dim,rainy,False,False,morning,False,True,1,0.31
10172,rural,1,0.71,60,night,clear,True,False,afternoon,True,False,3,0.67
10173,urban,2,0.43,60,daylight,clear,True,True,morning,False,False,1,0.21
10174,urban,1,0.86,25,dim,rainy,False,False,evening,True,False,0,0.34
10175,urban,3,0.72,25,dim,rainy,True,False,evening,True,False,2,0.42
10176,highway,1,0.67,60,daylight,foggy,False,False,morning,False,False,1,0.55
10177,highway,1,0.72,60,night,clear,False,True,morning,True,True,0,0.66
10178,rural,1,0.25,45,dim,rainy,True,True,morning,True,True,1,0.15
10179,rural,3,0.37,60,dim,foggy,True,True,morning,True,False,1,0.44
10180,urban,2,0.12,35,daylight,foggy,True,False,afternoon,False,True,1,0.08
10181,rural,2,0.57,25,night,foggy,False,False,evening,True,False,0,0.58
10182,rural,3,0.85,45,daylight,clear,False,False,evening,True,False,0,0.3
10183,urban,3,0.75,60,dim,foggy,True,True,evening,True,False,1,0.52
10184,rural,2,0.34,60,dim,clear,True,False,morning,True,True,2,0.36
10185,rural,1,0.12,45,daylight,rainy,True,True,afternoon,True,False,0,0.14
10186,urban,3,0.84,70,dim,clear,False,True,evening,True,False,0,0.48
10187,highway,3,0.08,60,daylight,clear,False,True,evening,False,True,1,0.24
10188,rural,4,0.28,60,dim,clear,True,False,afternoon,True,True,1,0.24
10189,highway,1,0.33,25,night,clear,True,True,afternoon,True,True,2,0.38
10190,urban,2,0.57,45,dim,clear,True,False,afternoon,False,True,2,0.19
10191,rural,2,0.15,25,night,foggy,False,False,morning,False,False,2,0.41
10192,rural,2,0.73,35,dim,rainy,True,True,afternoon,False,True,0,0.31
10193,rural,4,0.45,35,dim,foggy,False,True,evening,True,False,2,0.23
10194,highway,2,0.51,70,daylight,clear,True,True,morning,True,True,2,0.34
10195,highway,4,0.15,35,daylight,clear,False,False,evening,False,True,1,0.04
10196,highway,3,0.05,60,daylight,foggy,False,False,morning,False,True,0,0.25
10197,highway,4,0.46,45,night,foggy,False,False,evening,False,True,1,0.34
10198,rural,1,0.39,45,daylight,clear,False,True,afternoon,False,False,1,0.15
10199,urban,2,0.4,70,daylight,clear,True,True,afternoon,True,True,2,0.2
10200,rural,3,0.33,45,night,rainy,True,True,morning,True,True,2,0.34
10201,urban,1,0.92,60,dim,clear,False,True,morning,True,False,0,0.43
10202,highway,2,0.23,60,dim,rainy,False,False,morning,True,False,1,0.39
10203,rural,2,0.36,35,night,clear,False,False,afternoon,False,True,0,0.34
10204,rural,1,0.53,45,night,rainy,False,True,morning,False,True,0,0.44
10205,urban,2,0.46,35,dim,foggy,True,False,afternoon,True,True,1,0.3
10206,highway,4,0.17,45,night,rainy,True,False,evening,False,True,1,0.34
10207,rural,1,0.31,70,night,clear,False,False,morning,False,False,2,0.59
10208,urban,1,0.68,35,night,foggy,True,False,evening,False,True,2,0.58
10209,highway,3,0.26,35,night,rainy,True,False,evening,False,True,1,0.4
10210,highway,1,0.28,45,daylight,foggy,True,True,afternoon,True,False,2,0.26
10211,rural,1,0.28,25,dim,foggy,True,True,morning,True,False,1,0.22
10212,rural,4,0.88,25,dim,foggy,False,False,morning,True,False,2,0.24
10213,rural,2,0.82,35,dim,foggy,True,False,afternoon,True,False,2,0.38
10214,urban,4,0.79,35,dim,clear,True,False,morning,False,True,1,0.29
10215,rural,1,0.76,45,night,clear,True,False,morning,False,True,1,0.38
10216,rural,3,0.97,45,daylight,foggy,True,True,evening,False,False,2,0.48
10217,highway,4,0.22,60,daylight,clear,True,True,evening,True,True,1,0.23
10218,urban,3,0.58,45,dim,foggy,True,False,evening,False,True,0,0.25
10219,rural,2,0.34,25,night,clear,False,False,evening,False,True,1,0.38
10220,rural,4,0.03,35,night,rainy,False,False,morning,False,False,1,0.37
10221,urban,2,0.68,35,daylight,rainy,True,True,evening,False,True,2,0.4
10222,highway,1,0.71,70,daylight,clear,True,False,afternoon,False,True,2,0.43
10223,rural,3,0.99,60,night,foggy,True,True,morning,False,False,0,0.8
10224,urban,4,0.49,25,daylight,clear,True,False,evening,True,True,1,0.06
10225,urban,2,0.76,35,dim,foggy,False,False,evening,True,True,0,0.36
10226,urban,2,0.58,25,daylight,rainy,True,False,evening,True,True,3,0.44
10227,highway,4,0.6,45,night,foggy,False,True,afternoon,True,False,0,0.45
10228,urban,2,0.6,60,daylight,rainy,True,True,afternoon,False,True,2,0.39
10229,rural,2,0.98,25,daylight,rainy,False,False,afternoon,False,True,3,0.61
10230,urban,3,0.71,60,dim,rainy,False,False,evening,True,False,0,0.54
10231,highway,3,0.73,45,dim,clear,False,False,evening,True,True,0,0.23
10232,rural,2,0.29,70,night,foggy,False,False,afternoon,False,False,1,0.57
10233,urban,1,0.84,45,night,foggy,True,False,evening,True,False,1,0.58
10234,urban,4,0.47,70,daylight,foggy,True,True,evening,True,False,0,0.39
10235,rural,1,0.2,45,night,foggy,True,False,morning,False,False,1,0.36
10236,urban,1,0.84,60,dim,foggy,True,True,afternoon,False,False,2,0.49
10237,rural,4,0.58,45,dim,rainy,True,False,morning,False,False,1,0.28
10238,highway,4,0.75,25,dim,clear,False,False,evening,True,False,2,0.35
10239,highway,2,0.68,70,daylight,clear,False,False,evening,False,False,2,0.43
10240,rural,2,0.13,25,dim,foggy,True,False,morning,True,True,2,0.15
10241,rural,2,0.34,45,dim,clear,False,False,morning,False,True,2,0.12
10242,urban,1,0.63,60,night,clear,True,True,morning,True,True,0,0.58
10243,highway,4,0.5,35,dim,foggy,True,False,evening,True,False,1,0.25
10244,urban,2,0.08,35,dim,foggy,True,False,evening,True,True,2,0.06
10245,urban,4,0.79,60,dim,rainy,False,False,afternoon,True,False,2,0.52
10246,rural,3,0.56,60,night,foggy,True,False,morning,True,False,1,0.65
10247,highway,2,0.96,25,daylight,rainy,True,True,evening,True,False,2,0.36
10248,highway,2,0.88,35,daylight,rainy,True,False,morning,False,True,2,0.35
10249,rural,3,0.17,60,daylight,rainy,True,True,morning,False,False,0,0.2
10250,rural,1,0.56,35,night,clear,False,True,afternoon,False,False,2,0.33
10251,rural,2,0.21,45,night,clear,True,False,evening,False,True,2,0.29
10252,rural,2,0.61,45,daylight,foggy,False,False,evening,False,False,2,0.24
10253,highway,3,0.18,25,night,rainy,True,True,morning,False,False,2,0.43
10254,highway,2,0.49,35,daylight,clear,True,False,afternoon,False,True,2,0.16
10255,highway,4,0.47,70,daylight,clear,True,True,morning,False,False,1,0.34
10256,urban,3,1.0,25,daylight,rainy,True,True,morning,False,False,0,0.43
10257,highway,4,0.08,45,dim,foggy,False,True,evening,True,False,2,0.05
10258,urban,2,0.73,45,dim,foggy,False,True,evening,False,False,2,0.42
10259,rural,2,0.96,45,dim,foggy,False,False,morning,False,True,3,0.53
10260,urban,3,0.36,25,dim,foggy,True,True,morning,False,False,1,0.21
10261,highway,2,0.97,45,night,rainy,True,True,evening,True,True,2,0.6
10262,urban,4,0.43,25,daylight,clear,False,False,evening,True,False,1,0.06
10263,highway,2,0.8,35,night,rainy,False,True,afternoon,True,False,0,0.6
10264,highway,3,0.64,25,night,clear,False,False,afternoon,True,False,1,0.39
10265,urban,2,0.22,45,dim,rainy,False,False,morning,False,True,0,0.14
10266,rural,3,0.49,25,night,rainy,True,False,afternoon,True,True,1,0.44
10267,urban,3,0.6,45,daylight,foggy,False,False,evening,False,False,0,0.38
10268,urban,4,0.87,60,dim,clear,False,True,afternoon,True,True,0,0.44
10269,urban,1,0.32,60,dim,rainy,False,False,morning,True,True,1,0.38
10270,urban,2,0.77,70,night,clear,True,False,morning,True,True,2,0.49
10271,rural,1,0.05,35,daylight,foggy,True,True,evening,True,True,1,0.13
10272,urban,2,0.57,25,daylight,clear,True,True,evening,False,True,2,0.19
10273,urban,1,0.86,60,daylight,foggy,True,True,morning,False,False,1,0.51
10274,highway,1,0.04,35,dim,clear,False,False,morning,False,True,0,0.02
10275,urban,1,0.06,35,dim,foggy,False,False,afternoon,True,False,1,0.23
10276,highway,1,0.63,45,daylight,foggy,True,False,evening,True,False,1,0.32
10277,urban,2,0.94,35,dim,rainy,False,False,evening,False,True,2,0.3
10278,urban,4,0.04,25,daylight,foggy,False,False,afternoon,False,False,2,0.17
10279,rural,4,0.93,45,dim,foggy,True,True,afternoon,True,False,3,0.45
10280,rural,4,0.58,60,dim,foggy,True,True,morning,False,False,1,0.52
10281,rural,1,0.87,60,daylight,foggy,False,True,afternoon,False,True,0,0.49
10282,highway,3,0.48,45,daylight,clear,True,False,morning,True,False,2,0.12
10283,urban,2,0.81,60,dim,clear,False,False,evening,True,False,2,0.48
10284,urban,1,0.01,25,night,rainy,True,False,morning,True,True,2,0.22
10285,urban,2,0.95,60,night,foggy,False,True,morning,False,False,0,0.81
10286,rural,2,0.41,45,night,clear,False,False,evening,True,True,0,0.38
10287,urban,4,0.67,25,dim,rainy,True,False,morning,True,True,3,0.49
10288,highway,3,0.63,70,dim,rainy,False,True,afternoon,False,False,3,0.36
10289,highway,2,0.8,25,night,clear,True,False,afternoon,False,True,1,0.35
10290,highway,1,0.01,70,night,foggy,False,True,morning,True,False,1,0.49
10291,urban,4,0.93,60,night,rainy,True,True,evening,True,False,0,0.83
10292,rural,1,0.83,60,dim,foggy,False,True,afternoon,False,True,1,0.4
10293,highway,4,0.55,60,night,foggy,True,False,afternoon,True,True,0,0.72
10294,urban,2,0.66,45,night,foggy,False,False,afternoon,True,False,1,0.43
10295,urban,3,0.57,35,night,foggy,False,False,evening,False,False,0,0.44
10296,rural,3,0.58,70,daylight,rainy,True,True,evening,True,False,3,0.46
10297,rural,4,0.73,60,daylight,clear,False,True,morning,True,False,1,0.44
10298,highway,4,0.49,45,dim,rainy,True,False,afternoon,True,False,2,0.23
10299,highway,2,0.04,60,dim,rainy,True,False,evening,False,False,0,0.34
10300,highway,2,0.24,35,daylight,foggy,True,True,afternoon,False,True,2,0.21
10301,highway,1,0.15,45,night,foggy,True,True,evening,True,True,2,0.31
10302,highway,1,0.18,35,dim,clear,False,False,evening,True,True,2,0.03
10303,urban,2,0.62,25,dim,rainy,False,True,afternoon,False,False,2,0.39
10304,rural,4,0.42,45,night,rainy,False,False,afternoon,False,True,2,0.42
10305,highway,2,0.55,45,daylight,rainy,False,False,morning,True,False,1,0.25
10306,rural,3,0.59,45,daylight,rainy,True,False,evening,False,False,2,0.21
10307,rural,3,0.85,60,night,clear,True,False,evening,True,False,2,0.55
10308,highway,1,0.03,35,daylight,foggy,False,False,afternoon,False,True,1,0.04
10309,urban,1,0.34,70,night,foggy,True,False,evening,False,True,2,0.66
10310,rural,1,0.67,35,daylight,foggy,True,False,afternoon,False,False,1,0.24
10311,urban,2,0.89,25,daylight,clear,False,True,morning,False,False,0,0.35
10312,urban,2,0.57,60,daylight,foggy,False,False,evening,False,False,2,0.45
10313,urban,4,0.88,45,daylight,foggy,False,True,evening,False,True,0,0.2
10314,rural,2,0.58,70,night,clear,False,False,evening,True,False,0,0.57
10315,highway,2,0.99,70,dim,foggy,False,True,evening,True,False,1,0.5
10316,highway,4,0.63,25,daylight,clear,False,True,morning,False,True,1,0.22
10317,urban,1,0.13,25,dim,rainy,False,False,evening,True,False,1,0.02
10318,highway,2,0.6,60,daylight,clear,False,False,evening,False,True,0,0.38
10319,urban,2,0.47,70,dim,foggy,False,False,afternoon,False,True,0,0.37
10320,highway,1,0.42,25,dim,rainy,True,True,morning,False,True,1,0.22
10321,urban,1,0.57,35,daylight,rainy,False,True,afternoon,True,True,2,0.32
10322,highway,1,0.89,25,daylight,clear,False,True,evening,True,True,0,0.32
10323,highway,2,0.72,70,dim,foggy,False,False,morning,False,True,0,0.6
10324,urban,4,0.47,25,dim,foggy,False,False,morning,True,True,2,0.18
10325,highway,4,0.02,25,daylight,foggy,False,False,evening,False,True,0,0.08
10326,urban,4,0.62,60,night,foggy,True,False,afternoon,True,False,2,0.71
10327,urban,4,0.3,25,daylight,rainy,False,False,morning,False,True,1,0.16
10328,highway,4,0.06,45,daylight,rainy,True,False,morning,True,False,0,0.09
10329,highway,1,0.37,45,night,rainy,True,True,afternoon,True,False,1,0.37
10330,urban,4,0.68,70,dim,foggy,True,True,afternoon,True,True,0,0.52
10331,urban,2,0.4,60,daylight,clear,True,True,morning,True,False,1,0.17
10332,urban,2,0.92,70,dim,foggy,False,True,evening,False,False,0,0.61
10333,urban,1,0.36,70,dim,foggy,True,False,afternoon,False,True,1,0.45
10334,rural,1,0.28,70,dim,foggy,True,False,evening,True,True,1,0.39
10335,rural,4,0.46,45,dim,clear,True,True,afternoon,True,False,1,0.13
10336,urban,3,0.66,60,night,rainy,True,False,evening,True,True,0,0.63
10337,rural,1,0.48,35,night,foggy,True,True,afternoon,True,False,1,0.48
10338,urban,4,0.48,35,night,foggy,True,True,afternoon,False,False,1,0.47
10339,urban,2,0.78,60,dim,rainy,False,True,afternoon,True,False,0,0.47
10340,highway,2,0.37,70,dim,rainy,False,False,evening,False,True,0,0.48
10341,rural,3,0.56,60,daylight,clear,True,True,afternoon,False,True,1,0.37
10342,urban,4,0.9,35,daylight,clear,False,False,afternoon,False,True,0,0.34
10343,urban,4,0.99,45,dim,clear,False,False,evening,False,False,3,0.45
10344,rural,4,0.98,35,night,rainy,False,False,afternoon,False,False,3,0.68
10345,urban,3,0.61,70,night,foggy,True,False,afternoon,False,True,3,0.8
10346,rural,1,0.28,60,daylight,clear,False,True,afternoon,False,True,1,0.4
10347,rural,1,0.16,35,daylight,rainy,False,False,afternoon,False,False,1,0.11
10348,urban,2,0.73,70,night,clear,False,False,morning,True,True,2,0.6
10349,urban,2,0.27,45,night,rainy,True,True,evening,False,False,1,0.35
10350,rural,3,0.26,35,daylight,foggy,False,False,morning,True,True,1,0.18
10351,rural,1,0.77,35,dim,rainy,True,False,evening,True,False,0,0.37
10352,rural,1,0.69,35,night,foggy,True,True,afternoon,False,True,3,0.58
10353,rural,3,0.07,60,daylight,clear,True,True,morning,False,False,2,0.21
10354,rural,2,0.15,60,dim,clear,True,False,afternoon,True,False,1,0.0
10355,rural,1,0.59,45,daylight,rainy,False,False,evening,True,False,1,0.33
10356,highway,3,0.01,25,dim,foggy,False,True,evening,False,False,1,0.23
10357,highway,4,0.63,25,daylight,clear,False,False,morning,False,True,0,0.16
10358,highway,1,0.86,35,daylight,rainy,False,False,morning,True,False,0,0.31
10359,urban,3,0.27,70,night,clear,False,True,afternoon,False,True,2,0.53
10360,urban,3,0.02,35,night,foggy,True,True,evening,True,False,1,0.28
